protocol_id,biop_url,status,pick_url,pick_source,pubmed_url,pmid,pmcid_hint,doi_hint,candidates,cache,has_phrase,box_class,num_links_in_box
Bio-protocol-2104,https://doi.org/10.21769/BioProtoc.3027,ok,https://elifesciences.org/articles/32490,original_box_other,,,,,"[{""url"": ""https://elifesciences.org/articles/32490""}]",miss,True,article_box,1
Bio-protocol-2105,https://doi.org/10.21769/BioProtoc.3026,ok,https://elifesciences.org/articles/31804,original_box_other,,,,,"[{""url"": ""https://elifesciences.org/articles/31804""}]",miss,True,article_box,1
Bio-protocol-2106,https://doi.org/10.21769/BioProtoc.3025,ok,http://www.ncbi.nlm.nih.gov/pubmed/29346364,original_box_pubmed,https://pubmed.ncbi.nlm.nih.gov/29346364/,29346364,,,"[{""url"": ""http://www.ncbi.nlm.nih.gov/pubmed/29346364""}]",miss,True,article_box,1
Bio-protocol-2108,https://doi.org/10.21769/BioProtoc.3023,ok,http://www.ncbi.nlm.nih.gov/pubmed/28004701,original_box_pubmed,https://pubmed.ncbi.nlm.nih.gov/28004701/,28004701,,,"[{""url"": ""http://www.ncbi.nlm.nih.gov/pubmed/28004701""}]",miss,True,article_box,1
Bio-protocol-2107,https://doi.org/10.21769/BioProtoc.3024,ok,http://www.jneurosci.org/content/38/9/2189.long,original_box_other,,,,,"[{""url"": ""http://www.jneurosci.org/content/38/9/2189.long""}]",miss,True,article_box,1
Bio-protocol-2109,https://doi.org/10.21769/BioProtoc.3022,ok,https://elifesciences.org/articles/31872,original_box_other,,,,,"[{""url"": ""https://elifesciences.org/articles/31872""}]",miss,True,article_box,1
Bio-protocol-2110,https://doi.org/10.21769/BioProtoc.3021,ok,http://www.ncbi.nlm.nih.gov/pubmed/29584619,original_box_pubmed,https://pubmed.ncbi.nlm.nih.gov/29584619/,29584619,,,"[{""url"": ""http://www.ncbi.nlm.nih.gov/pubmed/29584619""}]",miss,True,article_box,1
Bio-protocol-2111,https://doi.org/10.21769/BioProtoc.3020,ok,http://www.ncbi.nlm.nih.gov/pubmed/26589433,original_box_pubmed,https://pubmed.ncbi.nlm.nih.gov/26589433/,26589433,,,"[{""url"": ""http://www.ncbi.nlm.nih.gov/pubmed/26589433""}]",miss,True,article_box,1
Bio-protocol-2112,https://doi.org/10.21769/BioProtoc.3019,ok,http://www.ncbi.nlm.nih.gov/pubmed/29298890,original_box_pubmed,https://pubmed.ncbi.nlm.nih.gov/29298890/,29298890,,,"[{""url"": ""http://www.ncbi.nlm.nih.gov/pubmed/29298890""}]",miss,True,article_box,1
Bio-protocol-2113,https://doi.org/10.21769/BioProtoc.3018,ok,http://www.ncbi.nlm.nih.gov/pubmed/29195076,original_box_pubmed,https://pubmed.ncbi.nlm.nih.gov/29195076/,29195076,,,"[{""url"": ""http://www.ncbi.nlm.nih.gov/pubmed/29195076""}]",miss,True,article_box,1
Bio-protocol-2114,https://doi.org/10.21769/BioProtoc.3017,ok,https://pubmed.ncbi.nlm.nih.gov/29084895/,original_box_pubmed,https://pubmed.ncbi.nlm.nih.gov/29084895/,29084895,,,"[{""url"": ""https://pubmed.ncbi.nlm.nih.gov/29084895/""}]",miss,True,article_box,1
Bio-protocol-2116,https://doi.org/10.21769/BioProtoc.3015,ok,https://elifesciences.org/articles/35368,original_box_other,,,,,"[{""url"": ""https://elifesciences.org/articles/35368""}]",miss,True,article_box,1
Bio-protocol-2117,https://doi.org/10.21769/BioProtoc.3014,ok,http://www.ncbi.nlm.nih.gov/pmc/articles/PMC4821064/,original_box_pmc,,,PMC4821064,,"[{""url"": ""http://www.ncbi.nlm.nih.gov/pmc/articles/PMC4821064/""}]",miss,True,article_box,1
Bio-protocol-2120,https://doi.org/10.21769/BioProtoc.3011,ok,http://www.ncbi.nlm.nih.gov/pubmed/28795780,original_box_pubmed,https://pubmed.ncbi.nlm.nih.gov/28795780/,28795780,,,"[{""url"": ""http://www.ncbi.nlm.nih.gov/pubmed/28795780""}]",miss,True,article_box,1
Bio-protocol-2118,https://doi.org/10.21769/BioProtoc.3013,ok,http://www.jneurosci.org/content/38/20/4623.long,original_box_other,,,,,"[{""url"": ""http://www.jneurosci.org/content/38/20/4623.long""}]",miss,True,article_box,1
Bio-protocol-2122,https://doi.org/10.21769/BioProtoc.3009,ok,http://www.ncbi.nlm.nih.gov/pubmed/22810896,original_box_pubmed,https://pubmed.ncbi.nlm.nih.gov/22810896/,22810896,,,"[{""url"": ""http://www.ncbi.nlm.nih.gov/pubmed/22810896""}]",miss,True,article_box,1
Bio-protocol-2121,https://doi.org/10.21769/BioProtoc.3010,ok,https://www.ncbi.nlm.nih.gov/pubmed/29125191,original_box_pubmed,https://pubmed.ncbi.nlm.nih.gov/29125191/,29125191,,,"[{""url"": ""https://www.ncbi.nlm.nih.gov/pubmed/29125191""}]",miss,True,article_box,1
Bio-protocol-2119,https://doi.org/10.21769/BioProtoc.3012,ok,http://www.ncbi.nlm.nih.gov/pubmed/29136238,original_box_pubmed,https://pubmed.ncbi.nlm.nih.gov/29136238/,29136238,,,"[{""url"": ""http://www.ncbi.nlm.nih.gov/pubmed/29136238""}]",miss,True,article_box,1
Bio-protocol-2123,https://doi.org/10.21769/BioProtoc.3008,ok,http://www.ncbi.nlm.nih.gov/pubmed/28615969,original_box_pubmed,https://pubmed.ncbi.nlm.nih.gov/28615969/,28615969,,,"[{""url"": ""http://www.ncbi.nlm.nih.gov/pubmed/28615969""}]",miss,True,article_box,1
Bio-protocol-2124,https://doi.org/10.21769/BioProtoc.3007,ok,http://www.ncbi.nlm.nih.gov/pubmed/28551743,original_box_pubmed,https://pubmed.ncbi.nlm.nih.gov/28551743/,28551743,,,"[{""url"": ""http://www.ncbi.nlm.nih.gov/pubmed/28551743""}]",miss,True,article_box,1
Bio-protocol-2126,https://doi.org/10.21769/BioProtoc.3005,ok,http://www.ncbi.nlm.nih.gov/pubmed/29298890,original_box_pubmed,https://pubmed.ncbi.nlm.nih.gov/29298890/,29298890,,,"[{""url"": ""http://www.ncbi.nlm.nih.gov/pubmed/29298890""}]",miss,True,article_box,1
